subset,invariance_score,predictiveness_train,predictiveness_val,predictiveness_test,skill_score_test,regret_cluster_0,regret_cluster_1,regret_cluster_2,regret_cluster_3,regret_cluster_4
"{TA, VPD, SW_IN_POT_daily, dSW_IN_POT, dSW_IN_POT_daily, LST_Day, LST_Night, NDWI_SWIR2}",5.730209580965788e-07,0.0737998960834766,0.0653971179729293,0.08224453920867517,-0.36169890259426607,0.0037321686094853174,0.0023253162929652293,0.0026508269712040705,0.003830573040314221,0.001943785844267104
"{SW_IN, SW_IN_POT_daily, dSW_IN_POT, LST_Day, LST_Night, EVI, NIRv, NDWI_SWIR2}",4.0964460671963833e-07,0.05680240316957618,0.05311671497338419,0.05916229017753261,0.05722195641717909,0.002420245944815068,0.0019399521361772587,0.0018720040633447357,0.0013446039111959726,0.003248295731041684
"{TA, dSW_IN_POT, dSW_IN_POT_daily, NIRv}",3.084758869678037e-07,0.08212078092050963,0.07235021898646236,0.09798190403810042,-0.7125125219392183,0.0016502033403567734,0.0029988105853888114,0.0028509220694269283,0.0030572416097268407,0.002120449190166171
"{SW_IN_POT, EVI, NIRv, NDWI_SWIR2, PFT}",2.128145896845748e-06,0.06848328320208233,0.07024886151352341,0.07002884157608957,0.01191992318146349,0.002812985858580891,0.0049600661396732165,0.002316213112547816,0.002540352280640812,0.005937728048615393
"{TA, VPD, SW_IN, SW_IN_POT_daily, dSW_IN_POT_daily, LST_Night, NIRv, PFT}",2.4355625369611872e-06,0.05464368869085016,0.051704262275195395,0.058152396754873686,0.07492532563186642,0.0010554370615341035,0.0026539253678702496,0.0013582251974506854,0.0008151636976301557,0.005034914374361432
"{SW_IN_POT, dSW_IN_POT, dSW_IN_POT_daily, LST_Day, EVI, NIRv, NDWI_SWIR2}",3.9594713640086854e-07,0.06487343936970892,0.06443752004941483,0.07442183975487779,-0.08636158925360944,0.0020012051009966197,0.0018344467418685978,0.002311589770795472,0.0008160643916089588,0.0026909700747149157
"{TA, LST_Night}",2.374681609131661e-05,0.10916571673052038,0.09326099592013608,0.12918049468944842,-1.6465095557670237,0.014356615661097027,0.0007536497951691062,0.0017947348657613577,0.0038193106252259607,0.00375816770292281
"{TA, SW_IN_POT_daily, dSW_IN_POT_daily, EVI, NDWI_SWIR2}",1.9236637534272367e-07,0.08728930165275543,0.08214198659336994,0.11904985384599016,-1.1534747170195523,0.0013248876988025682,0.0021400569711525347,0.002583023838428969,0.0016538164941108102,0.0016781798644751739
"{TA, SW_IN_POT_daily, dSW_IN_POT_daily, LST_Day, LST_Night, NIRv}",1.6494348120319695e-07,0.08656146314882891,0.07987255449963529,0.11460065629892036,-1.1514948939830119,0.0005880892491778589,0.0011660598573468711,0.001831770952580053,0.0009372594038607115,0.0011430907394616163
"{VPD, SW_IN_POT, SW_IN_POT_daily, dSW_IN_POT_daily, LST_Day, LST_Night, EVI, NIRv, NDWI_SWIR2, PFT}",2.0875426218929072e-06,0.057228827564283984,0.053099473724731366,0.06353731765718834,0.049729075859967255,0.001766515652437968,0.003023545320987503,0.0019944368595312192,0.0013836852975783812,0.005389199382184601
